TC,TC_Description,TC_Main_Category,TC_Sub_Category
SWXFTB,DEMO: Notif. of Absence Toolbox,Basis,SAP Business Workflow
SWXML,XML Document Selection,Basis,SAP Business Workflow
SXDA,Data Transfer Workbench,Basis,Data Transfer Workbench
SXDB,Data Transfer Workbench,Basis,Data Transfer Workbench
SYNT,Display Syntax Trace Output,Basis,Syntax; Compiler; Runtime
SYST,Not_Found,Basis,Session Manager
SYST,Not_Found,Basis,Session Manager
S_ALR_87003642,IMG Activity: SIMG_CFMENUORFBOB52,FI,Basic Functions
S_ALR_87011964,Asset Balances,Cross Application,Cross-Application Components
S_BCE_68000174,IMG activity: SIMG_CFMENUORFBOB08,Basis,Implementation Guide
S_IWB,Initial Screen Knowledge Warehouse,KM,Knowledge Warehouse
TAANA,Table Analysis,Basis,Table Analysis
TABR,Settle,Financials,Transaction Management
TAC1,Number range maintenance: FTA_GSART,Financials,Transaction Manager
TAC3,Number range maintenance: FTR_REFNR,Financials,Transaction Manager
TACD,Trader: Change Documents,Financials,Transaction Manager
TB01,Create forex hedge,Financials,Transaction Manager
TB02,Change forex hedge,Financials,Transaction Manager
TB10,Process hedge requests,Financials,Transaction Manager
TB11,Create Object Hedge,Financials,Transaction Manager
TB12,Change object hedge,Financials,Transaction Manager
TB13,Display object hedge,Financials,Transaction Manager
TB20,Unallocated forex transactions,Financials,Transaction Manager
TB30,List of open items FI,Financials,Transaction Manager
TBB1,Execute postings,Financials,Transaction Manager
TBB2,Reverse postings,Financials,Transaction Manager
TBB3,Flag Flows as Reversed,Financials,Transaction Manager
TBB4,Accrual/deferral,Financials,Transaction Manager
TBB5,Reverse accrual/deferral,Financials,Transaction Manager
TBC1,Datafeed: Define variants,Treasury,Treasury
TBCD,Treasury: Change Docs Transactions,Financials,Transaction Manager
TBCS,Automatic fixing processing,Financials,Transaction Manager
TBCY,Maintain Acct Determination: MM,Financials,Transaction Manager
TBCZ,Maintain Acct Determination: DE,Financials,Transaction Manager
TBD4,Datafeed: Updated market data,Treasury,Treasury
TBD5,Datafeed: Import market data file,Treasury,Treasury
TBDA,Datafeed: Real-Time Initialization,Treasury,Treasury
TBDB,Datafeed: Read archives,Treasury,Treasury
TBDC,Datafeed: Real-Time monitor,Treasury,Treasury
TBDM,Market Data File Interface INPUT,Treasury,Treasury
TBDN,Market Data File Interface - OUTPUT,Treasury,Treasury
TBDO,Market Data File: Code Conversion,Treasury,Treasury
TBEX,Spreadsheet for Market Data,Treasury,Treasury
TBI1,Standg instrns Maintain pmnt details,Fi Services,Business Partner
TBI5,Maintain Correspondence SI,Fi Services,Business Partner
TBI6,Authorization - maintain SI,Fi Services,Business Partner
TBI7,SI Maintain Derived Flows,Fi Services,Business Partner
TBI8,Standing Instructions: Evaluations,Fi Services,Business Partner
TBL1,Limits: Change/Display,IS,Default Risk and Limit System
TBL2,Limits: Change Documents,IS,Default Risk and Limit System
TBL3,Limits: Overview,IS,Default Risk and Limit System
TBL4,Limit Utilization: Overview,IS,Default Risk and Limit System
TBLB,Limit Utilization: Overview,IS,Default Risk and Limit System
TBLC,Lock/Unlock Limits,IS,Default Risk and Limit System
TBLD,Lock/Unlock Countries,IS,Default Risk and Limit System
TBLE,Limit Management: Lock Entries,IS,Default Risk and Limit System
TBLR,Release Limits,IS,Default Risk and Limit System
TBM1,Treasury: Create Mast.Agreement,Financials,Transaction Manager
TBR1,Treasury: Create netting,Financials,Transaction Manager
TBR6,Treasury: Create reference,Financials,Transaction Manager
TBRL,Treasury: Coll. proc. references,Financials,Transaction Manager
TBT1,Transaction Authorizat. for Traders,Financials,Transaction Manager
TBZ1,Output Correspondence,Financials,Transaction Manager
TBZ11,Correspondence Monitor,Financials,Transaction Management
TBZ13,Printer Override Function,Financials,Transaction Manager
TBZ2,Incoming Confirmations Forex,Financials,Transaction Manager
TBZ3,Money Market: Incoming Confirmations,Financials,Transaction Manager
TBZ4,Incoming Confirmations Forex Options,Financials,Transaction Manager
TBZ5,List of Days Overdue Counterconf.,Financials,Transaction Manager
TC02,Number range maint.: FTI_UGSART,Financials,Transaction Manager
TCOM,Evaluate offers,Financials,Transaction Management
TDMN,Cash management,Financials,Basic Functions
TER1,SAPterm: Changing Status of Terms,Basis,Terminology/Glossary
TF00,Collective Processing for Repos,Financials,Transaction Manager
TF01,Create Forward Security Transaction,Financials,Transaction Manager
TF02,Change Forward Securities Transactn,Financials,Transaction Manager
TF03,Display Forward Securities Transactn,Financials,Transaction Manager
TF04,Settle Forward Securities Transactn,Financials,Transaction Manager
TF06,Reverse Forward Securities Transactn,Financials,Transaction Manager
TF10,FST: Display Activity,Financials,Transaction Manager
TGANL,Create Separation Allowance,FI,Travel Expenses
TGANZ,Display Separation Allowance Event,FI,Travel Expenses
TGMOD,Change Separation Allowance,FI,Travel Expenses
TGPER,Edit Separation Allowance,FI,Travel Expenses
THIPAA,For checking past certificates,Payroll,Benefit Integration
THM10,Exposure Expiration,Financials,Transaction Manager
THM30,Define NPVs on Inception Date,Financials,Transaction Manager
THM54,Manual OCI Reclassification,Financials,Transaction Manager
THM55,Reverse Manual OCI Reclassification,Financials,Transaction Manager
THM80,Effectiveness test,Financials,Transaction Manager
THMEX,Hedge Management: Application,Financials,Transaction Manager
THMMM,Exposure Upload from Money Market,Financials,Transaction Manager
TI00,Collective Processing for Futures,Financials,Transaction Manager
TI10,Create Interest Rate Adjustment,Financials,Transaction Manager
TI11,Change Interest Rate Adjustment,Financials,Transaction Manager
TI12,Display Interest Rate Adjustment,Financials,Transaction Manager
TI37,Reverse Interest Rate Adjustment,Financials,Transaction Manager
TI40,Currency Option Fast Entry,Financials,Transaction Manager
TI49,Change Currency Option,Financials,Transaction Manager
TI4A,Forex Fast Entry,Financials,Transaction Manager
TI4B,Currency Option Entry - Spread,Financials,Transaction Manager
TI5AN,Options/Futures: Create Transaction,Financials,Transaction Manager
TI71,Create OTC Option,Financials,Transaction Manager
TI86,Exercise OTC Option,Financials,Transaction Manager
TI88,OTC Option: Expired,Financials,Transaction Manager
TI90,Posting Release,Financials,Transaction Manager
TI91,Collective Processing OTC Options,Financials,Transaction Manager
TI93,Manual Posting Block,Financials,Transaction Manager
TI94,Collective Monitoring of Options,Financials,Transaction Manager
TIMN,Not_Found,Financials,Transaction Manager
TJ01,Journal of transactions,Financials,Transaction Manager
TJ02,Collective editing of options,Financials,Transaction Manager
TJ04,Payment Plan,Financials,Transaction Manager
TJ05,Automatic Interest Rate Adjustment,Financials,Transaction Management
TJ06,Option Expiration,Financials,Transaction Manager
TJ07,Interest Rate Adjustment Schedule,Financials,Transaction Manager
TJ09,Update Planned Records,Financials,Transaction Manager
TJ10,Summary Journal Fin. Transctions,Financials,Transaction Manager
TJ12,Journal: Transactions w. Cash Flows,Financials,Transaction Manager
TK11,Create condition (shipment costs),Logistics Execution,Freight Processing
TK12,Change condition (shipment costs),Logistics Execution,Freight Processing
TK13,Display condition (shipment costs),Logistics Execution,Freight Processing
TK14,Create condition with ref.,Logistics Execution,Freight Processing
TLM7,Maintain authorization obj. present.,IS,Default Risk and Limit System
TLM8,Display authorization obj.presentatn,IS,Default Risk and Limit System
TLMH,Maintain hierarchy,IS,Default Risk and Limit System
TLR5,Reservations: Change Documents,IS,Default Risk and Limit System
TM00,Money Market: Collective processing,Financials,Transaction Manager
TM01,Create Fixed-Term Deposit,Financials,Transaction Manager
TM02,Change Fixed-Term Deposit,Financials,Transaction Manager
TM03,Display Fixed-Term Deposit,Financials,Transaction Manager
TM04,Roll Over Fixed-Term Deposit,Financials,Transaction Manager
TM06,Settle Fixed-Term Deposit,Financials,Transaction Manager
TM07,Reverse Fixed-Term Deposit,Financials,Transaction Manager
TM0F,Fxd Term Dep. Fast Entry,Financials,Transaction Manager
TM11,Create Deposit at Notice,Financials,Transaction Manager
TM12,Change Deposit at Notice,Financials,Transaction Manager
TM15,Give Notice on Deposit at Notice,Financials,Transaction Manager
TM16,Settle Deposit at Notice,Financials,Transaction Manager
TM20,Money Market: Collective Processing,Financials,Transaction Manager
TM22,Check Dates against Calendar,Financials,Transaction Manager
TM32,Change Commercial Paper,Financials,Transaction Manager
TM42,Change Cash Flow Transaction,Financials,Transaction Manager
TM47,Reverse Cash Flow Transaction,Financials,Transaction Manager
TMA5,Edit characteristics,IS,Risk Analysis
TMBA,BAV Information,Fi Services,Germany
TMBU,BAV Transfers,Fi Services,Germany
TMCA,Create fixed-term deposit offer,Financials,Transaction Management
TMCB,Execute fixed-term deposit offer,Financials,Transaction Management
TMCC,Display fixed-term deposit offer,Financials,Transaction Management
TMEZ,Money Market: Effective Int. Calc.,Financials,Transaction Manager
TMFM,Money Market: Generate Cash Flow,Financials,Transaction Manager
TMR1,Money Market: Flexible Position List,Financials,Transaction Manager
TMSB,Change/execute fixed-term dep.simuln,Financials,Transaction Management
TMSC,Display fixed-term deposit simulatn,Financials,Transaction Management
TM_51,Create Interest Rate Instrument,Financials,Transaction Management
TM_52,Change Interest Rate Instrument,Financials,Transaction Management
TM_53,Display Interest Rate Instrument,Financials,Transaction Management
TM_54,Settle Interest Rate Instrument,Financials,Transaction Management
TM_55,Reverse Interest Rate Instrument,Financials,Transaction Management
TM_60,Line of Credit and Utilization,Financials,Transaction Management
TM_60A,Lines of Credit; Drawings; Fees,Financials,Transaction Management
TM_61,Create Facility,Financials,Transaction Management
TM_62,Change Facility,Financials,Transaction Management
TM_63,Display Facility,Financials,Transaction Management
TM_64,Settle Facility,Financials,Transaction Management
TO01,Create OTC Interest Rate Instrument,Financials,Transaction Manager
TO02,Change OTC Interest Rate Instrument,Financials,Transaction Manager
TO04,Settle OTC Interest Rate Instrument,Financials,Transaction Manager
TO05,Reverse OTC Interest Rate Instrument,Financials,Transaction Manager
TO06,Give Notice on OTC Int. Rate Instr.,Financials,Transaction Manager
TP00,Travel Management: Travel Planning,FI,Travel Planning
TP01,Planning Manager,FI,Travel Planning
TP02,Travel Planning (End User),FI,Travel Planning
TP03,Planning Manager (Expert),FI,Travel Planning
TP04,Travel Request (End User),FI,Travel Planning
TP10,Travel Plan Synchronization (AIR),FI,Travel Planning
TP20,Create Travel Plan,FI,Travel Planning
TP31,Queries for Travel Planning,FI,Travel Planning
TPED,Maintain HR Master Data (ESS),FI,Travel Planning
TPES,Display HR Master Data (ESS),FI,Travel Planning
TPLOG,Short cut for TPLOG,FI,Travel Planning
TPM1,Execute Valuation,Financials,Transfer to Financial Accounting
TPM10,Fix. post or reverse transactions,Financials,Transaction Manager
TPM11,Post Reversal/Recalculation,Financials,Transfer to Financial Accounting
TPM12,Treasury Ledger: Position List,Financials,Transfer to Financial Accounting
TPM13,Treasury Ledger: Flow List,Financials,Transfer to Financial Accounting
TPM15,Valuation Class Transfer,Financials,Transfer to Financial Accounting
TPM18,Fix/Post Derived Business Transact.,Financials,Transfer to Financial Accounting
TPM19,Status Change TRL Bus. Transactions,Financials,Transfer to Financial Accounting
TPM2,Reverse Valuation,Financials,Transfer to Financial Accounting
TPM20,Posting Journal,Financials,Transfer to Financial Accounting
TPM24,Update Margin Flows,Financials,Back Office
TPM25,Post Margin Flows,Financials,Back Office
TPM26,Display quantity ledger positions,Financials,Transaction Manager
TPM27,Generate Derived Flows,Financials,Transfer to Financial Accounting
TPM28,Transfer Acct Assignment Reference,Financials,Transfer to Financial Accounting
TPM3,Account Asst Reference Allocations,Financials,Transfer to Financial Accounting
TPM35,Manual posting,Financials,Back Office
TPM4,Futures Account,Financials,Back Office
TPM40,Display Class Cash Flow for SecAcct,Financials,Back Office
TPM41,Display Sec. Account Position List,Financials,Back Office
TPM42,Display Class List,Financials,Back Office
TPM43,Process Restraints On Drawing,Financials,Back Office
TPM44,Fin.Products Profit Accrual/Deferral,Financials,Transaction Manager
TPM45,Reverse Accrual/Deferral of Income,Financials,Transaction Manager
TPM50,Change Position Mgmt Procedure,Financials,Transfer to Financial Accounting
TPM51,Periodic TRL Reporting,Financials,Back Office
TPM55A,Generate Position ID (Securities),Financials,Back Office
TPM56A,Change Position ID (Securities),Financials,Back Office
TPM56C,Change PositionID (OTC Transactions),Financials,Back Office
TPM57A,Display Position ID (Securities),Financials,Back Office
TPM60,Save NPVs,Financials,Transfer to Financial Accounting
TPM7,Display Class Pos. in Futures Acct,Financials,Back Office
TPM70,Record or Clear Impairment,Financials,Transfer to Financial Accounting
TPM73,Special security valn,Financials,Transfer to Financial Accounting
TPM8,Display Futures Account Cash Flow,Financials,Back Office
TPM9,Pos. List-Class Pos. in Futures Acct,Financials,Back Office
TPMD,Maintain HR Master Data,FI,Travel Planning
TPMM,Personnel Actions,FI,Travel Planning
TPMS,Display HR Master Data,FI,Travel Planning
TR3P,Maintain variant groups,Treasury,Treasury
TR3Q,Maintain Variants,Treasury,Treasury
TR3R,Schedule Variant Group,Treasury,Treasury
TR3S,Define Variant Group,Treasury,Treasury
TR3T,Reorganization of variant groups,Treasury,Treasury
TRACE,Program Trace,CO,Overhead Cost Controlling
TRBS,Automatic Postings Loans: Activities,Fi Services,Loans Management
TRIP,Travel Manager,FI,Travel Expenses
TRM0,Execute Report,Treasury,Treasury
TRM5,Change Form,Treasury,Treasury
TRMC,Comments Management: Treasury,Treasury,Treasury
TRMD,Distribute Report,Treasury,Treasury
TRME,Create Report,Treasury,Treasury
TRMO,Transport reports,Treasury,Treasury
TRMP,Transport forms,Treasury,Treasury
TRMS,Display Structure,Treasury,Treasury
TRMT,Translation Tool - Drilldown Report.,Treasury,Treasury
TRNC,No.range: FVVD_RPNSP Gen.daybook no.,Fi Services,Loans Management
TRP01,Create Repo Contract,Financials,Transaction Manager
TRP10,Display Repo Contract,Financials,Transaction Manager
TRSA,S-API Debugger,Basis,BW Service API
TRSR,Single Financial Object Calculation,Financials,Information System
TRTK,Access Report Tree,Financials,Information System
TRTM,Access Report Tree,Financials,Information System
TRTR,Access Report Tree,Financials,Information System
TS00,Collective Processing,Financials,Transaction Manager
TS01,Create Securities Transaction,Financials,Transaction Manager
TS02,Change Securities Transaction,Financials,Transaction Manager
TS03,Execute Securities Order,Financials,Transaction Manager
TS04,Settle Securities Contract,Financials,Transaction Manager
TS05,Sec. Transaction: Order Expiration,Financials,Transaction Manager
TS06,Display Securities Transaction,Financials,Transaction Manager
TS07,Reverse Securities Transaction,Financials,Transaction Manager
TS08,Securities Transaction: History,Financials,Transaction Manager
TS10,Display Securities Transaction,Financials,Transaction Manager
TSE39,Old version of splitscreen editor,Basis,ABAP Editor
TSW1,SWIFT Generation MT300,Financials,Transaction Manager
TSW2,SWIFT Generation MT320,Financials,Transaction Manager
TU02,Parameter Changes on this Instance,Basis,Performance Monitors (TCC)
TUTT,Workbench Tutorial,Basis,Workbench Utilities
TV20,Create Scenario,Financials,Market Risk Analyzer
TV21,Change Scenario,Financials,Market Risk Analyzer
TVM1,Market Risk and Analysis,Financials,Market Risk Analyzer
TVMD,Transfer Mkt Data,Financials,Market Risk Analyzer
TVS1,Statistics calculator,Financials,Market Risk Analyzer
TX-2,Maturity schedule for fwd exch.trans,Financials,Transaction Manager
TX-3,Posting overview,Financials,Transaction Manager
TX-5,Settle forex transaction,Financials,Transaction Manager
TX01,Spot/Forward Transaction Entry,Financials,Transaction Manager
TX02,Change Forex Transaction,Financials,Transaction Manager
TX03,Display Forex Transaction,Financials,Transaction Manager
TX05,Spot/Forward Trans.: Add Activity,Financials,Transaction Manager
TX06,Forex: Collective processing,Financials,Transaction Manager
TX10,Create Forex Swap,Financials,Transaction Manager
TX11,Rollover on previous basis,Financials,Transaction Manager
TX12,Premature Settlement,Financials,Transaction Manager
TX13,Create Foreign Exchange Offer,Financials,Transaction Manager
TX31,Create Internal Forex Transaction,Financials,Transaction Management
TXAK,Calculation of option premiums,Financials,Transaction Manager
TXBA,Text Module Maintenance,Real Estat,Real Estate Management
TXMN,Not_Found,Financials,Transaction Manager
TZ10,Dialog Programming: Data Transport,Basis,Workbench Tools: Editors; Painters; Modelers
TZ20,Dialog Programming: F Code Proc.,Basis,Workbench Tools: Editors; Painters; Modelers
TZ30,Dialog Programming: Input Check,Basis,Workbench Tools: Editors; Painters; Modelers
TZ31,Dialog Programming: Input Check,Basis,Workbench Tools: Editors; Painters; Modelers
TZ40,Dialog Programming: Screen Control,Basis,Workbench Tools: Editors; Painters; Modelers
TZ50,Dialog Programming: Screen Modif.,Basis,Workbench Tools: Editors; Painters; Modelers
TZ60,Dialog Programming: Tables TC,Basis,Workbench Tools: Editors; Painters; Modelers
TZ61,Dialog Programming: Tables SL,Basis,Workbench Tools: Editors; Painters; Modelers
TZ70,Dialog Programming: Tables SL,Basis,Workbench Tools: Editors; Painters; Modelers
TZ80,Dialog Programming: Authorizations,Basis,Workbench Tools: Editors; Painters; Modelers
TZ90,Dialog Programming: Locking,Basis,Workbench Tools: Editors; Painters; Modelers
TZA0,Dialog Programming: Asynch.Updates,Basis,Workbench Tools: Editors; Painters; Modelers
TZB0,Dialog Programming: Doc. and Help,Basis,Workbench Tools: Editors; Painters; Modelers
T_03,Cond.tab: Create (shipment costs),Logistics Execution,Freight Processing
T_04,CondTab: Change (shipment costs),Logistics Execution,Freight Processing
T_05,CondTab: Display (shipment costs),Logistics Execution,Freight Processing
T_09,Condition table: Change Index,Logistics Execution,Freight Processing
T_LA,Create Pricing Report,Logistics Execution,Freight Processing
T_LD,Execute pricing report,Logistics Execution,Freight Processing
UCUST,BP: Business partner - applic.Cust.,Financials,Business Partner
UPART,Business Partner: Conversion to CBP,Financials,Business Partner
UPDA,Foreign Trade: Mater data transfer,SD,Basic Functions
UPS,ALE Distribution Units (UPS),Cross Application,Distribution Unit / Distribution Packet
UPS01,Create ALE Distribution Unit,Cross Application,Distribution Unit / Distribution Packet
UPS02,Change ALE Distribution Unit,Cross Application,Distribution Unit / Distribution Packet
UPS03,Display ALE Distribution Unit,Cross Application,Distribution Unit / Distribution Packet
UPS04,Copy ALE Distribution Unit,Cross Application,Distribution Unit / Distribution Packet
UPSC00,ALE Distribution Unit: Setting,Cross Application,Distribution Unit / Distribution Packet
UPSMAS,Post UPSMAS-IDocs,Cross Application,Distribution Unit / Distribution Packet
UPSRCP,Replication Table: Organization,Cross Application,Distribution Unit / Distribution Packet
USMM,Customer Measurement,Basis,User and Authorization Management
U_P_S,UPS : Area Menu,Cross Application,Distribution Unit / Distribution Packet
V,Quickstart RKCOWUSL,CO,Controlling
V-01,Create Sales Order,SD,Sales
V-02,Create Quotation,SD,Sales
V-03,Create ordering party (Sales),FI,Basic Functions
V-04,Create invoice recipient (Sales),FI,Basic Functions
V-05,Create payer (Sales),FI,Basic Functions
V-06,Create consignee (Sales),FI,Basic Functions
V-07,Create one-time customer (Sales),FI,Basic Functions
V-08,Create payer (Centrally),FI,Basic Functions
V-09,Create ordering party (Centrally),FI,Basic Functions
V-11,Create carrier,FI,Basic Functions
V-31,Create Freight 1,SD,Conditions
V-32,Create Freight 1 with Reference,SD,Conditions
V-33,Change Freight 1,SD,Conditions
V-34,Create Freight 1,SD,Conditions
V-35,Create Freight 1,SD,Conditions
V-36,Create Freight 1 with Reference,SD,Conditions
V-37,Change Freight 2,SD,Conditions
V-38,Display Freight 2,SD,Conditions
V-40,Display Taxes (Export),SD,Conditions
V-41,Create         Material Price,SD,Basic Functions
V-42,Create Material Price w/ref.,SD,Basic Functions
V-43,Change         Material Price,SD,Basic Functions
V-44,Display        Material Price,SD,Basic Functions
V-45,Create         Price List,SD,Basic Functions
V-46,Create Price List w/ref.,SD,Basic Functions
V-47,Change         Price List,SD,Basic Functions
V-48,Display        Price List,SD,Basic Functions
V-49,Create Customer-Specific Price,SD,Basic Functions
V-50,Create Customer-spec. Price w/ref.,SD,Basic Functions
V-51,Change         Cust.price,SD,Conditions
V-52,Display        Cust.price,SD,Conditions
V-61,Create         Cust.disc./surcharge,SD,Conditions
V-62,Create Customer Disc/Surch. w/ref,SD,Conditions
V-63,Change         Cust.Disc/Surcharge,SD,Conditions
V-64,Display        Cust.Disc/Surcharge,SD,Conditions
V-65,Create         Mat.Disc/Surcharge,SD,Conditions
V-66,Create w/ref.Material Disc/Surcharge,SD,Conditions
V-67,Change         Mat.Disc/Surcharge,SD,Conditions
V-68,Display        Mat.Disc/Surcharge,SD,Conditions
V-69,Create         Price grp Disc/Surch.,SD,Conditions
V-70,Create w/ref.Price Group Disc/Surch.,SD,Conditions
V-71,Change         Price grp Disc/Surch.,SD,Conditions
V-72,Display        Price grp Disc/Surch.,SD,Conditions
V-73,Create         Mat.pr.grp Disc/Surch,SD,Conditions
V-74,Create w/ref.Mat.pr.grp Disc/Surch,SD,Conditions
V-75,Change         Mat.pr.grp Disc/Surch,SD,Conditions
V-76,Display        Mat.pr.grp Disc/Surch,SD,Conditions
V-77,Create         Cust/MatPrGrp Disc/Su,SD,Conditions
V-78,Create w/ref.Cust/MatPrGrp Disc/Surc,SD,Conditions
V-79,Change         Cust/MatPrGrp Disc/Su,SD,Conditions
V-80,Display        Cust/MatPrGrp Disc/Su,SD,Conditions
V-81,Create         Cust/mat.Disc/Surch.,SD,Conditions
V-82,Create w/ref.Cust/Mat.Disc/Surcharge,SD,Conditions
V-83,Change         Cust/mat.Disc/Surch.,SD,Conditions
V-84,Display        Cust/mat.Disc/Surch.,SD,Conditions
V-85,Create         PGrp/MPrGrp Disc/Surc,SD,Conditions
V-86,Create w/ref.PrGrp/MatPrGrp Disc/Sur,SD,Conditions
V-87,Change         PGrp/MPrGrp Disc/Surc,SD,Conditions
V-88,Display        PGrp/MPrGrp Disc/Surc,SD,Conditions
V-89,Create         PGrp/MPrGrp Disc/Surc,SD,Conditions
V-90,Create w/ref.PrGrp/Mat Disc/Surch.,SD,Conditions
V-91,Change         PGrp/mat Disc/Surch.,SD,Conditions
V-92,Display        PGrp/mat.Disc/Surch.,SD,Conditions
V-93,Create Domestic Taxes,SD,Conditions
V-94,Create Domestic Taxes w/Reference,SD,Conditions
V-95,Change Domestic Taxes,SD,Conditions
V-96,Display Domestic Taxes,SD,Conditions
V-97,Create Cross-border Taxes,SD,Conditions
V-98,Create Cross-border Taxes,SD,Conditions
V-99,Change Cross-border Taxes,SD,Conditions
V/03,Create Condition Table (SD Price),SD,Conditions
V/04,Change Condition Table (Sales pr.),SD,Conditions
V/05,Display Condition Table: (Sales Pr.),SD,Conditions
V/12,Account Determination: Create Table,SD,Account Determination
V/13,Account Determination: Change Table,SD,Account Determination
V/14,Account Determination: Display Table,SD,Account Determination
V/56,Output: Cond.Table - Create Orders,SD,Conditions
V/57,Output - Cond.Table - Change Order,SD,Conditions
V/58,Output - Cond.Table - Display Order,SD,Conditions
V/59,Output - Cond.Table - Create Dlv.,SD,Conditions
V/60,Output - Cond.Table - Change Dlv.,SD,Conditions
V/61,Output - Cond.Table - Display Dlv.,SD,Conditions
V/62,Output - Cond.Table - Create BillDoc,SD,Conditions
V/63,Output - Cond.Table - Change BillDoc,SD,Conditions
V/64,Output - Cond.Table - Display BillDc,SD,Conditions
V/65,Output CondTable/Create SalesSupport,SD,Output Determination
V/66,Output CondTab./Change Sales Support,SD,Output Determination
V/67,Output CondTab/Display Sales Support,SD,Output Determination
V/77,Output -ConditTable- Create Transprt,Logistics Execution,Transportation
V/78,Output -CondTable- Change Transport,Logistics Execution,Transportation
V/79,Output -CondTable- Display Transport,Logistics Execution,Transportation
V/93,Output -CondTable- Create Packaging,SD,Output Determination
V/94,Output -CondTable- Change Packaging,SD,Output Determination
V/95,Output -CondTable- Display Packaging,SD,Output Determination
V/C7,CondTable: Create (Batches; SD),Logistics,Batches
V/C8,CondTable: Change (Batch; SD),Logistics,Batches
V/C9,CondTable: Display (Batches; SD),Logistics,Batches
V/G1,Output CondTab/Create Group,SD,Output Determination
V/G2,Output CondTab Change Group,SD,Output Determination
V/G3,Output CondTab/Display Group,SD,Output Determination
V/I2,Set up condition indices,SD,Conditions
V/I3,Conditions: Pricing SD - Index,SD,Conditions
V/I4,Conditions: Pricing SD - Index,SD,Conditions
V/LA,Create Pricing Report,SD,Conditions
V/LB,Change Pricing Report,SD,Conditions
V/LC,Display Pricing Report,SD,Conditions
V/LD,Execute pricing report,SD,Conditions
V/LE,Generate pricing reports,SD,Conditions
V/N2,Create free goods table,SD,Conditions
V/N3,Display free goods table (SD),SD,Conditions
V101,Initial Sales Menu,SD,Sales
V12LCA,Create Pricing Report,SD,Conditions
V12LCB,Change Pricing Report,SD,Conditions
V12L_A,Create Pricing Report,SD,Conditions
V12L_B,Change Pricing Report,SD,Conditions
V12L_C,Display Pricing Report,SD,Conditions
V12L_D,Execute Pricing Report,SD,Conditions
V23,Sales Documents Blocked for Billing,SD,Basic Functions
V633,Customer Conversion Dec.Shipping,Logistics Execution,Shipping
VA00,Initial Sales Menu,SD,Sales
VA01,Create Sales Order,SD,Sales
VA02,Change Sales Order,SD,Sales
VA03,Display Sales Order,SD,Sales
VA05,List of Sales Orders,SD,Basic Functions
VA07,Compare Sales - Purchasing (Order),SD,Sales
VA08,Compare Sales - Purchasing (Org.Dt.),SD,Sales
VA11,Create Inquiry,SD,Sales
VA12,Change Inquiry,SD,Sales
VA13,Display Inquiry,SD,Sales
VA14L,Sales Documents Blocked for Delivery,SD,Basic Functions
VA15,Inquiries List,SD,Basic Functions
VA21,Create Quotation,SD,Sales
VA22,Change Quotation,SD,Sales
VA23,Display Quotation,SD,Sales
VA25,Quotations List,SD,Basic Functions
VA26,Collective Processing for Quotations,SD,Basic Functions
VA31,Create Scheduling Agreement,SD,Sales
VA32,Change Scheduling Agreement,SD,Sales
VA33,Display Scheduling Agreement,SD,Sales
VA35,List of Scheduling Agreements,SD,Basic Functions
VA41,Create Contract,SD,Sales
VA42,Change Contract,SD,Sales
VA42W,Workflow for master contract,SD,Sales
VA43,Display Contract,SD,Sales
VA44,Actual Overhead: Sales Order,CO,Overhead Cost Controlling
VA45,List of Contracts,SD,Basic Functions
VA46,Coll.Subseq.Processing f.Contracts,SD,Basic Functions
VA51,Create Item Proposal,SD,Sales
VA52,Change Item Proposal,SD,Sales
VA53,Display Item Proposal,SD,Sales
VA55,List of Item Proposals,SD,Basic Functions
VA88,Actual Settlement: Sales Orders,CO,Overhead Cost Orders
VA94,Load Commodity Codes for Japan,SD,Basic Functions
VA94X,Load Commodity Codes for Japan,SD,Basic Functions
VA95,Merge Commodity Code/Import Code No.,SD,Basic Functions
VACF,Commit. carried forwrd: Sales orders,CO,Overhead Cost Orders
VAKC,Items in Sales Order Configuration,SD,Sales
VAKP,Configuration: Maintain T180,SD,Sales
VALU,Valuation Analysis,CO,Profitability Analysis
VAM4,Merge: Japan - Commodity Code,SD,Basic Functions
VAN1,Actual Reval.: Sales Order,CO,Overhead Cost Controlling
VAP1,Create Contact Person,Logistics,Customer Master
VAP2,Change Contact Person,Logistics,Customer Master
VAP3,Display Contact Person,Logistics,Customer Master
VARC,SD: User Guide to Archiving,SD,Basic Functions
VARCH,Change report variant,Basis,Logical DB; Selection Screens; Selection Variants
VARD,Display report variant,Basis,Logical DB; Selection Screens; Selection Variants
VASK,Deleting Groups,SD,Basic Functions
VB01,Create Material Listing/Exclusion,SD,Conditions
VB02,Change Material Listing/Exclusion,SD,Conditions
VB03,Display Material Listing/Exclusion,SD,Conditions
VB04,Reference Material Listing/Exclusion,SD,Conditions
VB11,Create Material Substitution,SD,Conditions
VB12,Change Material Substitution,SD,Conditions
VB13,Display Material Substitution,SD,Conditions
VB14,Reference Material Substitution,SD,Conditions
VB21,Create Sales Deal,SD,Conditions
VB22,Change Sales Deal,SD,Conditions
VB23,Display Sales Promotion,SD,Conditions
VB25,List of Sales Deals,SD,Conditions
VB31,Create Promotion,SD,Conditions
VB32,Change Promotion,SD,Conditions
VB33,Display Promotion,SD,Conditions
VB35,Promotions List,SD,Conditions
VB41,Create cross-selling,SD,Conditions
